優しい,やさしい,Gentle/Kind,<ruby>彼<rt>かれ</rt></ruby>は<ruby>誰<rt>だれ</rt></ruby>にでも<ruby>優<rt>やさ</rt></ruby>しい<ruby>心<rt>こころ</rt></ruby>を<ruby>持<rt>も</rt></ruby>っています。,He has a gentle heart towards everyone.
気が利く,きがきく,Considerate,<ruby>彼<rt>かれ</rt></ruby>は<ruby>気<rt>き</rt></ruby>が<ruby>利<rt>き</rt></ruby>いて、<ruby>細<rt>こま</rt></ruby>かい<ruby>配慮<rt>はいりょ</rt></ruby>ができます。,He is considerate and can pay attention to the details.
マメ,マメ,Diligent/Attentive,<ruby>彼女<rt>かのじょ</rt></ruby>はマメに<ruby>連絡<rt>れんらく</rt></ruby>をくれます。,She diligently keeps in touch.
大胆,だいたん,Bold,<ruby>彼<rt>かれ</rt></ruby>は<ruby>大胆<rt>だいたん</rt></ruby>な<ruby>発言<rt>はつげん</rt></ruby>で<ruby>会議<rt>かいぎ</rt></ruby>を<ruby>盛り上<rt>もりあ</rt></ruby>げます。,He enlivens meetings with bold statements.
寛容,かんよう,Tolerant,<ruby>彼<rt>かれ</rt></ruby>は<ruby>寛容<rt>かんよう</rt></ruby>な<ruby>心<rt>こころ</rt></ruby>で<ruby>人<rt>ひと</rt></ruby>の<ruby>過失<rt>かしつ</rt></ruby>を<ruby>許<rt>ゆる</rt></ruby>します。,He forgives others' mistakes with a tolerant heart.
気前がいい,きまえがいい,Generous,<ruby>彼<rt>かれ</rt></ruby>は<ruby>気前<rt>きまえ</rt></ruby>が<ruby>良<rt>よ</rt></ruby>く、<ruby>友人<rt>ゆうじん</rt></ruby>に<ruby>惜<rt>お</rt></ruby>しみなく<ruby>支<rt>ささ</rt></ruby>えます。,He is generous and supports his friends unstintingly.
天然と言われる,てんねんといわれる,(said to have a) natural (personality),<ruby>彼<rt>かれ</rt></ruby>は<ruby>天然<rt>てんねん</rt></ruby>と<ruby>言<rt>い</rt></ruby>われる<ruby>性格<rt>せいかく</rt></ruby>で、<ruby>皆<rt>みな</rt></ruby>に<ruby>愛<rt>あい</rt></ruby>されています。,He is known for his natural personality and is loved by everyone.
裏表がない,うらおもてがない,Straightforward,<ruby>彼<rt>かれ</rt></ruby>は<ruby>裏表<rt>うらおもて</rt></ruby>がなく、<ruby>正直<rt>しょうじき</rt></ruby>な<ruby>人柄<rt>ひとがら</rt></ruby>です。,He is straightforward and honest.
マイペース,マイペース,At one's own pace,<ruby>彼<rt>かれ</rt></ruby>はマイペースで、<ruby>周<rt>まわ</rt></ruby>りに<ruby>流<rt>なが</rt></ruby>されません。,He goes at his own pace and is not swayed by others.
奥手,おくて,Reserved,<ruby>彼<rt>かれ</rt></ruby>は<ruby>奥手<rt>おくて</rt></ruby>で、<ruby>自分<rt>じぶん</rt></ruby>から<ruby>話<rt>はな</rt></ruby>しかけることは<ruby>少<rt>すく</rt></ruby>ないです。,He is reserved and rarely initiates conversations.
気分屋,きぶんや,Moody,<ruby>彼<rt>かれ</rt></ruby>は<ruby>気分屋<rt>きぶんや</rt></ruby>で、<ruby>気分<rt>きぶん</rt></ruby>が<ruby>変<rt>か</rt></ruby>わりやすいです。,He is moody and his mood changes easily.
頑固,がんこ,Stubborn,<ruby>彼<rt>かれ</rt></ruby>は<ruby>頑固<rt>がんこ</rt></ruby>で、<ruby>他人<rt>たにん</rt></ruby>の<ruby>意見<rt>いけん</rt></ruby>を<ruby>聞<rt>き</rt></ruby>かないことがあります。,He is stubborn and sometimes doesn't listen to others' opinions.
短気,たんき,Short-tempered,<ruby>彼女<rt>かのじょ</rt></ruby>は<ruby>短気<rt>たんき</rt></ruby>で、<ruby>些細<rt>ささい</rt></ruby>なことで<ruby>怒<rt>おこ</rt></ruby>りがちです。,She is short-tempered and tends to get angry over trivial matters.
自分勝手,じぶんかって,Selfish,<ruby>彼<rt>かれ</rt></ruby>は<ruby>自分勝手<rt>じぶんかって</rt></ruby>で、<ruby>周<rt>まわ</rt></ruby>りの<ruby>人<rt>ひと</rt></ruby>を<ruby>困惑<rt>こんわく</rt></ruby>させます。,He is selfish and confuses those around him.
無責任,むせきにん,Irresponsible,<ruby>彼<rt>かれ</rt></ruby>は<ruby>無責任<rt>むせきにん</rt></ruby>な<ruby>行動<rt>こうどう</rt></ruby>を<ruby>取<rt>と</rt></ruby>り、<ruby>問題<rt>もんだい</rt></ruby>を<ruby>引<rt>ひ</rt></ruby>き<ruby>起<rt>お</rt></ruby>こします。,He acts irresponsibly and causes problems.
冷酷,れいこく,Cruel,<ruby>彼<rt>かれ</rt></ruby>は<ruby>冷酷<rt>れいこく</rt></ruby>な<ruby>一面<rt>いちめん</rt></ruby>を<ruby>持<rt>も</rt></ruby>っており、<ruby>他人<rt>たにん</rt></ruby>に<ruby>冷淡<rt>れいたん</rt></ruby>です。,He has a cruel side and is indifferent to others.
ズボラ,ズボラ,Sloppy,<ruby>彼女<rt>かのじょ</rt></ruby>はズボラで、<ruby>部屋<rt>へや</rt></ruby>がいつも<ruby>散<rt>ち</rt></ruby>らかっています。,"She is sloppy, and her room is always messy."
陰気,いんき,Gloomy,<ruby>彼<rt>かれ</rt></ruby>は<ruby>陰気<rt>いんき</rt></ruby>で、<ruby>笑<rt>わら</rt></ruby>うことが<ruby>少<rt>すく</rt></ruby>ないです。,He is gloomy and rarely smiles.
非社交的,ひしゃこうてき,Unsociable,<ruby>彼<rt>かれ</rt></ruby>は<ruby>非社交的<rt>ひしゃこうてき</rt></ruby>で、<ruby>集団<rt>しゅうだん</rt></ruby>での<ruby>活動<rt>かつどう</rt></ruby>を<ruby>避<rt>さ</rt></ruby>けがちです。,He is unsociable and tends to avoid group activities.
皮肉屋,ひにくや,Sarcastic,<ruby>彼女<rt>かのじょ</rt></ruby>は<ruby>皮肉屋<rt>ひにくや</rt></ruby>で、<ruby>人<rt>ひと</rt></ruby>を<ruby>笑<rt>わら</rt></ruby>わせるよりも<ruby>批判<rt>ひはん</rt></ruby>します。,She is sarcastic and tends to criticize rather than amuse people.
気難しい,きむずかしい,Difficult,<ruby>彼<rt>かれ</rt></ruby>は<ruby>気難<rt>きむずか</rt></ruby>しく、<ruby>人<rt>ひと</rt></ruby>と<ruby>打ち解ける<rt>うちとける</rt></ruby>ことが<ruby>難<rt>むずか</rt></ruby>しいです。,He is difficult to get along with and hard to open up to.
自己中心的,じこちゅうしんてき,Self-centered,<ruby>彼<rt>かれ</rt></ruby>は<ruby>自己中心的<rt>じこちゅうしんてき</rt></ruby>で、いつも<ruby>自分<rt>じぶん</rt></ruby>の<ruby>利益<rt>りえき</rt></ruby>ばかり<ruby>考<rt>かんが</rt></ruby>えています。,He is self-centered and always thinks only of his own interests.
心配性,しんぱいしょう,Worrywart,<ruby>彼女<rt>かのじょ</rt></ruby>は<ruby>心配性<rt>しんぱいしょう</rt></ruby>で、<ruby>些細<rt>ささい</rt></ruby>なことも<ruby>気<rt>き</rt></ruby>にします。,She is a worrywart and frets over trivial matters.
嫉妬深い,しっとぶかい,Jealous,<ruby>彼<rt>かれ</rt></ruby>は<ruby>嫉妬深<rt>しっとぶか</rt></ruby>く、<ruby>他人<rt>たにん</rt></ruby>の<ruby>成功<rt>せいこう</rt></ruby>に<ruby>悔<rt>くや</rt></ruby>しさを<ruby>感<rt>かん</rt></ruby>じます。,He is jealous and feels envious of others' success.
臆病,おくびょう,Cowardly,<ruby>彼<rt>かれ</rt></ruby>は<ruby>臆病<rt>おくびょう</rt></ruby>で、<ruby>冒険<rt>ぼうけん</rt></ruby>を<ruby>避<rt>さ</rt></ruby>けます。,He is cowardly and avoids adventures.
消極的,しょうきょくてき,Passive,<ruby>彼女<rt>かのじょ</rt></ruby>は<ruby>消極的<rt>しょうきょくてき</rt></ruby>で、<ruby>新<rt>あたら</rt></ruby>しい<ruby>挑戦<rt>ちょうせん</rt></ruby>を<ruby>恐<rt>おそ</rt></ruby>れます。,She is passive and fears new challenges.
疑い深い,うたがいぶかい,Distrustful,<ruby>彼<rt>かれ</rt></ruby>は<ruby>疑<rt>うたが</rt></ruby>い<ruby>深<rt>ぶか</rt></ruby>く、<ruby>他人<rt>たにん</rt></ruby>を<ruby>信頼<rt>しんらい</rt></ruby>しません。,He is distrustful and does not trust others.
神経質,しんけいしつ,Nervous,<ruby>彼女<rt>かのじょ</rt></ruby>は<ruby>神経質<rt>しんけいしつ</rt></ruby>で、<ruby>小<rt>ちい</rt></ruby>さな<ruby>音<rt>おと</rt></ruby>にも<ruby>敏感<rt>びんかん</rt></ruby>です。,She is nervous and sensitive to small noises.
怠惰,たいだ,Lazy,<ruby>彼<rt>かれ</rt></ruby>は<ruby>怠惰<rt>たいだ</rt></ruby>で、<ruby>仕事<rt>しごと</rt></ruby>を<ruby>先延<rt>さきの</rt></ruby>ばしにします。,He is lazy and procrastinates on work.
頑迷,がんめい,Obstinate,<ruby>彼<rt>かれ</rt></ruby>は<ruby>頑迷<rt>がんめい</rt></ruby>で、<ruby>新<rt>あたら</rt></ruby>しい<ruby>考<rt>かんが</rt></ruby>えを<ruby>受<rt>う</rt></ruby>け<ruby>入<rt>い</rt></ruby>れません。,He is obstinate and refuses to accept new ideas.
無愛想,ぶあいそう,Unfriendly,<ruby>彼女<rt>かのじょ</rt></ruby>は<ruby>無愛想<rt>ぶあいそう</rt></ruby>で、<ruby>挨拶<rt>あいさつ</rt></ruby>もしません。,She is unfriendly and does not even greet others.
横柄,おうへい,Arrogant,<ruby>彼<rt>かれ</rt></ruby>は<ruby>横柄<rt>おうへい</rt></ruby>な<ruby>態度<rt>たいど</rt></ruby>で、<ruby>他人<rt>たにん</rt></ruby>を<ruby>見下<rt>みくだ</rt></ruby>します。,He is arrogant and looks down on others.
強情,ごうじょう,Headstrong,<ruby>彼<rt>かれ</rt></ruby>は<ruby>強情<rt>ごうじょう</rt></ruby>で、<ruby>意見<rt>いけん</rt></ruby>を<ruby>譲<rt>ゆず</rt></ruby>りません。,He is headstrong and refuses to concede his opinion.
短絡的,たんらくてき,Simplistic,<ruby>彼<rt>かれ</rt></ruby>は<ruby>短絡的<rt>たんらくてき</rt></ruby>な<ruby>考<rt>かんが</rt></ruby>えで、<ruby>結論<rt>けつろん</rt></ruby>を<ruby>急<rt>いそ</rt></ruby>ぎます。,He is simplistic and rushes to conclusions.
無鉄砲,むてっぽう,Reckless,<ruby>彼<rt>かれ</rt></ruby>は<ruby>無鉄砲<rt>むてっぽう</rt></ruby>で、<ruby>計画<rt>けいかく</rt></ruby>なしに<ruby>行動<rt>こうどう</rt></ruby>します。,He is reckless and acts without planning.
自己陶酔,じことうすい,Self-absorbed,<ruby>彼<rt>かれ</rt></ruby>は<ruby>自己陶酔<rt>じことうすい</rt></ruby>しており、<ruby>他人<rt>たにん</rt></ruby>の<ruby>意見<rt>いけん</rt></ruby>を<ruby>聞<rt>き</rt></ruby>きません。,He is self-absorbed and doesn't listen to others' opinions.
皮肉っぽい,ひにくっぽい,Ironic,<ruby>彼<rt>かれ</rt></ruby>は<ruby>皮肉<rt>ひにく</rt></ruby>っぽく、<ruby>会話<rt>かいわ</rt></ruby>を<ruby>和<rt>なご</rt></ruby>ませません。,He is ironic and doesn't ease conversations.
軽薄,けいはく,Frivolous/Superficial,<ruby>彼<rt>かれ</rt></ruby>は<ruby>軽薄<rt>けいはく</rt></ruby>で、<ruby>責任<rt>せきにん</rt></ruby>を<ruby>取<rt>と</rt></ruby>りません。,He is frivolous and doesn't take responsibility.
不誠実,ふせいじつ,Dishonest,<ruby>彼<rt>かれ</rt></ruby>の<ruby>不誠実<rt>ふせいじつ</rt></ruby>な<ruby>態度<rt>たいど</rt></ruby>は、<ruby>信頼<rt>しんらい</rt></ruby>を<ruby>失<rt>うしな</rt></ruby>わせる<ruby>結果<rt>けっか</rt></ruby>となりました。,His dishonest attitude resulted in a loss of trust.
陰険,いんけん,Sly,<ruby>彼<rt>かれ</rt></ruby>は<ruby>陰険<rt>いんけん</rt></ruby>で、<ruby>裏<rt>うら</rt></ruby>で<ruby>人<rt>ひと</rt></ruby>を<ruby>操<rt>あやつ</rt></ruby>ります。,He is sly and manipulates people behind the scenes.
